addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
0448 S CHAPELGATE LANE,126733.0,2012,0.0,126733.0,1457.31,8139L,074,25,1,0,2061.5,R-6,88711.62,7603.0,9060.31,"PLUTO 2013, LLC",154.0
0505 S CHAPELGATE LANE,147567.0,2012,0.0,147567.0,3240.28,8181,002,25,1,0,,R-5,76234.0,3441.0,6681.28,,27.0
1005 N CHARLES ST,550200.0,2012,0.0,550200.0,23580.55,0506,003,11,0,0,2566.67,B-4-2,296879.0,15359.0,38939.55,"PLUTO 2013, LLC",154.0
1209 N CHARLES ST UNIT 421,280000.0,2012,0.0,280000.0,4622.82,0484,131,11,1,0,1739.0,B-4-2,140642.0,5728.0,10350.82,,27.0
2123 N CHARLES ST,214400.0,2012,0.0,214400.0,12767.44,3810,012,12,0,0,2400.0,B-2-3,104649.19,3777.0,16544.44,,89.0
2303 N CHARLES ST,242567.0,2012,0.0,242567.0,740.07,3820,002,12,0,0,2859.5,B-2-3,125000.0,5594.0,6334.07,,27.0
2334 N CHARLES ST,225800.0,2012,0.0,225800.0,554.41,3623,019,12,0,0,1736.5,B-2-3,113149.23,4565.0,5119.41,"PLUTO 2013, LLC",154.0
2501 N CHARLES ST,255567.0,2012,0.0,255567.0,12777.5,3831,022,12,0,0,1620.0,B-2-3,121130.88,3780.0,16557.5,,89.0
2503 N CHARLES ST,207367.0,2012,0.0,207367.0,5905.52,3831,021,12,0,0,1485.0,B-2-3,105373.92,4485.0,10390.52,,89.0
2514 N CHARLES ST,288200.0,2012,0.0,288200.0,5915.77,3636,008,12,0,0,2437.5,O-R-2,140252.0,4994.0,10909.77,,60.0
2931 N CHARLES ST,555400.0,2012,0.0,555400.0,4509.9,3851,025,12,0,0,2742.0,R-8,271054.0,9778.0,14287.9,,60.0
4100 N CHARLES ST UNIT 208,200000.0,2012,0.0,200000.0,5554.96,3702,208,12,0,0,1317.04,R-9,106508.0,5301.0,10855.96,,60.0
5103 N CHARLES ST,705100.0,2012,0.0,705100.0,6317.66,5018,012,27,0,0,16560.0,R-1,338605.1,11313.0,17630.66,RAI CUSTODIAN,200.0
0911 S CHARLES ST UNIT 201,150000.0,2012,0.0,150000.0,4179.04,0918,138,23,0,0,706.0,B-2-3,98522.0,7704.0,11883.04,,60.0
1045 S CHARLES ST,216300.0,2012,0.0,216300.0,20055.25,0934B,009,23,0,0,1710.0,B-2-3,60000.0,0.0,20055.25,,60.0
1440 S CHARLES ST,256000.0,2012,0.0,256000.0,1650.63,0993,042,23,1,0,875.0,R-8,124088.0,4337.0,5987.63,,27.0
1601 S CHARLES ST,386600.0,2012,0.0,386600.0,960.01,1014,001,23,1,0,1400.0,R-8,194170.84,7906.0,8866.01,"PLUTO 2013, LLC",154.0
