addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
3911 W ROGERS AVE,70200.0,2012,0.0,70200.0,2971.59,4511G,007,27,1,0,1710.0,R-6,11650.0,0.0,2971.59,,162.0
4014 W ROGERS AVE,127400.0,2012,0.0,127400.0,1239.6,4426A,008,27,0,0,1720.0,R-6,75802.0,4968.0,6207.6,,27.0
4212 W ROGERS AVE,116000.0,2012,0.0,116000.0,4059.85,4419A,007,28,1,0,1979.17,R-6,53153.08,1350.0,5409.85,,34.0
3915 ROKEBY ROAD,72300.0,2012,0.0,72300.0,671.96,2525,039,16,0,0,1680.0,R-6,32855.3,787.0,1458.96,,162.0
3917 ROKEBY ROAD,65400.0,2012,0.0,65400.0,10342.81,2525,040,16,1,0,2563.75,R-6,10670.0,0.0,10342.81,,151.0
4101 ROKEBY ROAD,80600.0,2012,0.0,80600.0,803.05,2526,025,16,1,0,3680.0,R-6,98943.44,13340.0,14143.05,"PLUTO 2013, LLC",154.0
4239 ROKEBY ROAD,98100.0,2012,0.0,98100.0,811.38,2527,115,28,1,0,1881.0,R-6,106635.35,13479.0,14290.38,"PLUTO 2013, LLC",154.0
4255 ROKEBY ROAD,126700.0,2012,0.0,126700.0,2248.77,2527,123,28,0,0,6001.72,R-6,111432.63,12150.0,14398.77,"PLUTO 2013, LLC",154.0
4512 ROKEBY ROAD,102800.0,2012,0.0,102800.0,1588.5,7958,029N,28,0,0,3150.0,R-5,106530.5,13082.0,14670.5,"PLUTO 2013, LLC",154.0
4624 ROKEBY ROAD,130600.0,2012,0.0,130600.0,6657.66,7900A,030,28,1,0,3472.0,R-5,67985.2,3149.0,9806.66,,89.0
3528 ROLAND AVE,149600.0,2012,0.0,149600.0,3382.06,3528,076,13,0,0,1513.83,R-7,100542.44,8140.0,11522.06,"PLUTO 2013, LLC",154.0
3537 ROLAND AVE,148900.0,2012,0.0,148900.0,3418.21,3530,018,13,0,0,1624.0,R-7,65380.49,1164.0,4582.21,,34.0
3917 ROLAND AVE,162600.0,2012,0.0,162600.0,1566.6,3561,033,13,1,0,2480.0,R-7,101000.0,7192.0,8758.6,,60.0
3994-3996 ROLAND AVE,168467.0,2012,0.0,168467.0,477.58,3563,005,13,0,0,2672.0,B-1-2,113687.0,9260.0,9737.58,,60.0
4011 ROLAND AVE,228700.0,2012,0.0,228700.0,6434.7,3594A,003,13,0,0,10175.0,R-7,130017.49,7707.0,14141.7,,162.0
4401 ROLAND AVE UNIT 405,135000.0,2012,0.0,135000.0,3796.89,4960A,179,27,0,0,1204.0,R-6,89500.0,7100.0,10896.89,,60.0
4505 ROLAND AVE,744300.0,2012,0.0,744300.0,515.68,4944,005,27,0,0,14250.0,R-2,342442.0,8944.0,9459.68,,60.0
4820 ROLAND AVE,523000.0,2012,0.0,523000.0,1626.18,4908,003,27,0,0,26600.0,R-2,287161.0,15592.0,17218.18,,60.0
5713 ROLAND AVE,413100.0,2012,0.0,413100.0,8914.7,4843L,004,27,0,0,,R-2,242489.7,15449.0,24363.7,RAI CUSTODIAN,200.0
1133 ROLAND HEIGHTS AVE,131900.0,2012,0.0,131900.0,2479.56,3590,021,13,1,0,3320.0,R-6,89692.0,7386.0,9865.56,,60.0
1475 ROLAND HEIGHTS AVE,147200.0,2012,0.0,147200.0,1470.18,3575D,042A,13,1,0,2103.0,R-6,119418.38,12107.0,13577.18,"PLUTO 2013, LLC",154.0
4103 ROLAND VIEW AVE,50100.0,2012,0.0,50100.0,1729.24,3350F,008,15,1,1,1913.1,R-6,2001.0,0.0,1729.24,,182.0
0122 W ROPEWALK LANE,152400.0,2012,0.0,152400.0,16617.35,0963,060,23,0,0,544.5,R-8,38000.0,0.0,16617.35,,60.0
3403 ROSALIE AVE,221200.0,2012,0.0,221200.0,1898.34,5570B,021,27,0,0,7250.0,R-1,166648.95,15633.0,17531.34,"PLUTO 2013, LLC",154.0
3019 ROSALIND AVE,149200.0,2012,0.0,149200.0,14577.97,4804A,021,27,0,0,6250.0,R-3,,,,,
0509 ROSE HILL TERR,113600.0,2012,0.0,113600.0,2577.32,3903,030,9,0,1,2287.78,R-6,43990.72,0.0,2577.32,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
0515 ROSE HILL TERR,103843.0,2012,0.0,103843.0,1751.27,3903,033,9,0,0,1890.0,R-6,49046.52,1501.0,3252.27,,162.0
0012 N ROSE ST,100000.0,2012,0.0,100000.0,2803.12,1726,073,6,0,0,832.0,R-8,57168.68,3433.0,6236.12,,162.0
0021 N ROSE ST,70000.0,2012,0.0,70000.0,2439.45,1726,084,6,0,0,876.0,R-8,36712.32,1742.0,4181.45,,213.0
0027 N ROSE ST,117800.0,2012,0.0,117800.0,1895.69,1726,081,6,1,0,876.0,R-8,54945.01,1565.0,3460.69,,213.0
0401 N ROSE ST,31300.0,2012,0.0,31300.0,530.27,1673,059,6,0,1,732.0,R-8,3889.0,0.0,530.27,,213.0
0412 N ROSE ST,78200.0,2012,0.0,78200.0,2412.47,1673,088,6,0,0,782.83,R-8,33929.1,529.0,2941.47,,77.0
0420 N ROSE ST,35000.0,2012,0.0,35000.0,2172.84,1673,084,6,0,0,732.0,R-8,3392.0,0.0,2172.84,,182.0
0423 N ROSE ST,76100.0,2012,0.0,76100.0,16079.8,1673,070,6,0,1,732.0,R-8,,,,,
0429 N ROSE ST,70300.0,2012,0.0,70300.0,4468.01,1673,073,6,0,0,732.0,R-8,,,,,
0438 N ROSE ST,79200.0,2012,0.0,79200.0,2749.14,1673,075,6,0,0,716.75,R-8,34665.83,597.0,3346.14,,77.0
0517 N ROSE ST,25000.0,2012,0.0,25000.0,1454.36,1656,078,7,0,0,845.0,R-8,3392.0,0.0,1454.36,,182.0
0519 N ROSE ST,36000.0,2012,0.0,36000.0,3098.84,1656,077,7,0,1,845.0,R-8,,,,,
0705 N ROSE ST,19000.0,2012,0.0,19000.0,6924.13,1625,091,7,0,0,780.0,R-8,,,,,
0710 N ROSE ST,10200.0,2012,0.0,10200.0,4482.88,1625,073,7,0,1,780.0,R-8,,,,,
0711 N ROSE ST,16067.0,2012,0.0,16067.0,2550.26,1625,088,7,0,1,5980.0,R-8,,,,,
0713 N ROSE ST,10200.0,2012,0.0,10200.0,1493.26,1625,087,7,0,1,780.0,R-8,2192.0,0.0,1493.26,,182.0
0719 N ROSE ST,10200.0,2012,0.0,10200.0,17031.06,1625,084,7,0,1,780.0,R-8,,,,,
0801 N ROSE ST,25000.0,2012,0.0,25000.0,6372.63,1609,091,7,0,0,893.75,R-8,,,,,
0804 N ROSE ST,10200.0,2012,0.0,10200.0,6149.62,1609,070,7,0,1,828.75,R-8,,,,,
0805 N ROSE ST,25000.0,2012,0.0,25000.0,2082.93,1609,089,7,0,1,828.75,R-8,3082.93,0.0,2082.93,,288.0
0823 N ROSE ST,10200.0,2012,0.0,10200.0,685.44,1609,080,7,0,1,893.75,R-8,,,,,
1209 N ROSE ST,467000.0,2012,0.0,467000.0,15507.08,1538,037,8,0,0,,R-7,50000.0,0.0,15507.08,,282.0
1420 N ROSE ST,500.0,2012,0.0,500.0,614.31,1505,070,8,0,0,1444.86,B-1-2,,,,,
1504 N ROSE ST,3000.0,2012,0.0,3000.0,401.72,1486,048,8,0,1,540.62,R-8,,,,,
1508 N ROSE ST,3000.0,2012,0.0,3000.0,2314.84,1486,050,8,0,1,540.62,R-8,,,,,
1510 N ROSE ST,3000.0,2012,0.0,3000.0,5050.93,1486,051,8,0,1,540.62,R-8,,,,,
1513 N ROSE ST,3000.0,2012,0.0,3000.0,5040.45,1486,062,8,0,1,780.0,R-8,,,,,
1810 N ROSE ST,22600.0,2012,0.0,22600.0,657.97,4177,007,8,0,0,3480.79,B-3-2,9934.94,178.0,835.97,,77.0
1908 N ROSE ST,1000.0,2012,0.0,1000.0,705.57,4177,012,8,0,0,1346.19,B-3-2,,,,,
0825 S ROSE ST,182700.0,2012,0.0,182700.0,2872.15,1865,079,1,1,0,855.0,R-8,150673.82,15518.0,18390.15,"PLUTO 2013, LLC",154.0
0446 ROSEBANK AVE,217600.0,2012,0.0,217600.0,6619.65,5093B,024,27,0,0,7150.0,R-5,100000.0,2592.0,9211.65,,60.0
3923 ROSECREST AVE,138900.0,2012,0.0,138900.0,4475.58,4306A,074,27,1,0,3120.0,R-5,82972.24,5482.0,9957.58,,162.0
3929 ROSECREST AVE,141400.0,2012,0.0,141400.0,2885.19,4306A,077,27,1,0,3120.0,R-5,89955.0,6679.0,9564.19,,60.0
3931 ROSECREST AVE,139600.0,2012,0.0,139600.0,1037.57,4306A,078,27,1,0,3120.0,R-5,98564.57,8544.0,9581.57,"PLUTO 2013, LLC",154.0
4019 ROSECREST AVE,135400.0,2012,0.0,135400.0,1564.7,4306A,086B,27,1,0,3120.0,R-5,118590.48,12886.0,14450.7,"PLUTO 2013, LLC",154.0
4025 ROSECREST AVE,135400.0,2012,0.0,135400.0,16301.11,4306A,086E,27,0,1,3120.0,R-5,17150.0,0.0,16301.11,,151.0
0430 ROSECROFT TERR,86700.0,2012,0.0,86700.0,6688.62,2532,043,20,1,0,2750.0,R-6,48899.0,2843.0,9531.62,,60.0
0020 N ROSEDALE ST,86400.0,2012,0.0,86400.0,2795.51,2230D,031,20,0,0,1471.67,R-6,39289.6,945.0,3740.51,,34.0
0800 N ROSEDALE ST,40000.0,2012,0.0,40000.0,1344.22,2475H,001,16,0,0,,R-6,6048.99,0.0,1344.22,,34.0
0933 N ROSEDALE ST,57800.0,2012,0.0,57800.0,1877.41,2475C,080,16,0,0,1686.0,R-6,29840.38,1344.0,3221.41,,162.0
0942 N ROSEDALE ST,61900.0,2012,0.0,61900.0,9047.53,2475H,022,16,0,0,1440.0,R-6,,,,,
0944 N ROSEDALE ST,63400.0,2012,0.0,63400.0,21174.26,2475H,023,16,0,1,1440.0,R-6,,,,,
0949 N ROSEDALE ST,68600.0,2012,0.0,68600.0,455.28,2475C,086,16,0,0,1804.83,R-6,65256.75,7563.0,8018.28,"PLUTO 2013, LLC",154.0
1005 N ROSEDALE ST,71367.0,2012,0.0,71367.0,2793.55,2446A,003,16,1,0,1600.0,R-6,5889.0,0.0,2793.55,,213.0
1010 N ROSEDALE ST,25700.0,2012,0.0,25700.0,12883.69,2447,030,16,0,1,1584.0,R-6,,,,,
1018 N ROSEDALE ST,48000.0,2012,0.0,48000.0,1707.3,2447,026,16,0,0,1393.33,R-6,14670.8,0.0,1707.3,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
1019 N ROSEDALE ST,71367.0,2012,0.0,71367.0,1417.82,2446A,010,16,0,0,1600.0,R-6,32091.35,708.0,2125.82,,213.0
1420 N ROSEDALE ST,67367.0,2012,0.0,67367.0,2440.01,2454,041,16,1,0,1631.25,R-5,31022.14,815.0,3255.01,,34.0
1422 N ROSEDALE ST,72833.0,2012,0.0,72833.0,1550.3,2454,042,16,1,0,1428.25,R-5,49526.0,4078.0,5628.3,,60.0
1600 N ROSEDALE ST,48800.0,2012,0.0,48800.0,4250.81,2440,046,16,0,1,1260.0,R-6,,,,,
1607 N ROSEDALE ST,65933.0,2012,0.0,65933.0,834.42,2424B,024,16,0,0,1110.0,R-6,95682.31,13861.0,14695.42,"PLUTO 2013, LLC",154.0
1610 N ROSEDALE ST,73200.0,2012,0.0,73200.0,4388.39,2440,041B,16,0,0,882.0,R-6,41123.77,2368.0,6756.39,,162.0
1635 N ROSEDALE ST,71700.0,2012,0.0,71700.0,2771.55,2424B,036,16,0,1,1575.0,R-6,,,,,
1701 N ROSEDALE ST,3000.0,2012,0.0,3000.0,3762.56,2425,031,15,0,1,1925.0,R-6,,,,,
1711 N ROSEDALE ST,3000.0,2012,0.0,3000.0,1147.29,2425,026,15,0,1,1056.0,R-6,,,,,
1802 N ROSEDALE ST,3000.0,2012,0.0,3000.0,3656.4,2427,002,15,0,1,1400.0,B-2-2,,,,,
1808 N ROSEDALE ST,3000.0,2012,0.0,3000.0,973.42,2427,005,15,0,0,1400.0,B-2-2,,,,,
1915 N ROSEDALE ST,25000.0,2012,0.0,25000.0,4850.65,3003,028,15,1,1,1350.0,R-7,5005.5,0.0,4850.65,ST. MATTHEW'S GOSPEL TABERNACLE AFC.,219.0
1917 N ROSEDALE ST,25000.0,2012,0.0,25000.0,3032.61,3003,029,15,0,1,1350.0,R-7,3250.5,0.0,3032.61,ST. MATTHEW'S GOSPEL TABERNACLE AFC.,219.0
2100 N ROSEDALE ST,91573.0,2012,0.0,91573.0,2603.25,3021,025,15,0,0,1380.0,R-6,41060.79,886.0,3489.25,,34.0
2102 N ROSEDALE ST,75400.0,2012,0.0,75400.0,7623.89,3021,024,15,0,0,1380.0,R-6,,,,,
2211 N ROSEDALE ST,96800.0,2012,0.0,96800.0,5162.04,3033,052A,15,1,0,1380.0,R-6,11250.0,0.0,5162.04,,162.0
2303 N ROSEDALE ST,71900.0,2012,0.0,71900.0,3641.22,3042,002,15,1,0,1491.67,R-6,21650.0,0.0,3641.22,,162.0
2305 N ROSEDALE ST,70787.0,2012,0.0,70787.0,7674.96,3042,002A,15,1,0,1491.67,R-6,9057.8,0.0,7674.96,,151.0
2507 N ROSEDALE ST,84393.0,2012,0.0,84393.0,1489.83,3061B,170,15,0,0,1900.0,R-6,42482.32,1745.0,3234.83,,162.0
2508 N ROSEDALE ST,86237.0,2012,0.0,86237.0,1996.47,3061B,207,15,1,0,1900.0,R-6,58641.0,4829.0,6825.47,,60.0
0028 S ROSEDALE ST,90300.0,2012,0.0,90300.0,2842.25,2230L,029,20,0,0,1441.01,R-6,43790.91,1534.0,4376.25,,162.0
3306 ROSEKEMP AVE,117200.0,2012,0.0,117200.0,3227.71,5811,035,27,1,0,6787.5,R-4,52731.9,1170.0,4397.71,,89.0
2614 ROSELAWN AVE,162200.0,2012,0.0,162200.0,4514.76,5417A,043,27,0,0,6500.0,R-3,91800.0,5384.0,9898.76,,281.0
3012 ROSELAWN AVE,136700.0,2012,0.0,136700.0,10743.17,5622,018,27,1,0,5750.0,R-3,39600.0,0.0,10743.17,,281.0
3410 ROSELAWN AVE,152200.0,2012,0.0,152200.0,2381.99,5636,001A,27,1,0,6191.67,R-3,97000.0,7224.0,9605.99,,60.0
6517 ROSEMONT AVE,129200.0,2012,0.0,129200.0,1109.65,5658,022,27,1,0,6795.83,R-4,97372.64,9138.0,10247.65,"PLUTO 2013, LLC",154.0
2614 ROSEWOOD AVE,28000.0,2012,0.0,28000.0,2057.01,3307B,030,15,0,0,1176.0,R-6,,,,,
2621 ROSEWOOD AVE,3000.0,2012,0.0,3000.0,3089.76,3307A,031,15,0,0,1004.5,R-6,,,,,
2607 ROSLYN AVE,176000.0,2012,0.0,176000.0,4623.61,2831,009,15,0,0,8318.97,R-4,78081.29,1536.0,6159.61,,34.0
0515 ROSSITER AVE,148800.0,2012,0.0,148800.0,1314.65,5180,011,27,0,0,7933.33,R-4,113654.04,10826.0,12140.65,"PLUTO 2013, LLC",154.0
2731 ROUND ROAD,94800.0,2012,0.0,94800.0,2831.46,7643,016,25,1,0,1446.67,R-6,66360.0,5688.0,8519.46,,60.0
2753 ROUND ROAD,102500.0,2012,0.0,102500.0,25311.53,7643,027,25,0,1,2455.67,R-6,,,,,
2803 ROUND ROAD,80700.0,2012,0.0,80700.0,2525.22,7643,029,25,0,0,1479.33,R-6,36470.18,838.0,3363.22,,34.0
2829 ROUND ROAD,59800.0,2012,0.0,59800.0,2407.99,7643,040,25,0,0,1403.5,R-6,26566.27,529.0,2936.99,,77.0
1202 ROUNDHILL ROAD,376600.0,2012,0.0,376600.0,6390.87,3971I,011,9,0,0,,R-1,207860.59,11444.0,17834.87,RAI CUSTODIAN,200.0
1650 ROUNDHILL ROAD,119700.0,2012,0.0,119700.0,2971.8,3970E,070,9,1,0,2100.0,R-5,83790.0,7182.0,10153.8,,60.0
0401 ROUNDVIEW ROAD,102800.0,2012,0.0,102800.0,8409.52,7613,001,25,0,0,3758.11,R-6,8409.52,0.0,8409.52,,243.0
0413 ROUNDVIEW ROAD,105200.0,2012,0.0,105200.0,21732.0,7613,007,25,0,1,1694.0,R-6,,,,,
0419 ROUNDVIEW ROAD,101400.0,2012,0.0,101400.0,3127.26,7613,010,25,0,1,2898.44,R-6,46229.79,1133.0,4260.26,,89.0
0431 ROUNDVIEW ROAD,100700.0,2012,0.0,100700.0,11097.53,7613,016,25,0,0,2123.33,R-6,,,,,
0461 ROUNDVIEW ROAD,101700.0,2012,0.0,101700.0,2934.83,7613,031,25,0,0,1691.67,R-6,45676.04,999.0,3933.83,,34.0
0705 ROUNDVIEW ROAD,114100.0,2012,0.0,114100.0,1307.8,7650C,028,25,0,0,1584.0,R-6,54018.87,1675.0,2982.8,,162.0
0729 ROUNDVIEW ROAD,113100.0,2012,0.0,113100.0,1850.91,7650C,040,25,1,0,1584.0,R-6,121455.9,15243.0,17093.91,"PLUTO 2013, LLC",154.0
0732 ROUNDVIEW ROAD,117100.0,2012,0.0,117100.0,904.85,7625,042,25,1,0,1620.0,R-6,52637.23,1159.0,2063.85,,162.0
3402 ROYCE AVE,30000.0,2012,0.0,30000.0,1676.46,3301,182,27,1,0,1602.0,R-6,2676.46,0.0,1676.46,,243.0
5506 RUBIN AVE,129200.0,2012,0.0,129200.0,4718.0,4426,037,27,0,0,2118.33,R-6,,,,,
3106 RUECKERT AVE,159700.0,2012,15000.0,159700.0,6240.28,5798,043,27,0,0,7412.5,R-4,87632.14,4750.0,10990.28,,89.0
3307 RUECKERT AVE,172800.0,2012,0.0,172800.0,1433.18,5804,008,27,0,0,,R-4,88500.0,3876.0,5309.18,,281.0
3310 RUECKERT AVE,145700.0,2012,0.0,145700.0,1825.33,5798,030A,27,0,0,9964.17,R-4,133442.58,15032.0,16857.33,"PLUTO 2013, LLC",154.0
2107 RUPP ST,46000.0,2012,0.0,46000.0,1012.38,2324,033,15,1,0,1491.0,R-6,19651.19,250.0,1262.38,,77.0
2522 RUSCOMBE LANE,157200.0,2012,0.0,157200.0,3542.12,4797,021,27,0,0,6250.0,R-3,105508.73,8525.0,12067.12,"PLUTO 2013, LLC",154.0
2813 RUSCOMBE LANE,131800.0,2012,0.0,131800.0,5804.0,4798,076,27,0,1,5550.0,R-3,40184.0,0.0,5804.0,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
2205 RUSKIN AVE,48900.0,2012,0.0,48900.0,1244.99,3228C,015,13,0,0,1064.0,R-8,21043.9,296.0,1540.99,,77.0
2207 RUSKIN AVE,48900.0,2012,0.0,48900.0,24135.18,3228C,016,13,0,0,1064.0,R-8,,,,,
2213 RUSKIN AVE,42700.0,2012,0.0,42700.0,4388.47,3228C,019,13,0,1,1064.0,R-8,,,,,
2224 RUSKIN AVE,33700.0,2012,0.0,33700.0,1242.36,3244,054,13,0,1,1078.0,R-8,9380.56,0.0,1242.36,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
2313 RUSKIN AVE,53300.0,2012,0.0,53300.0,2755.34,3232,018,13,1,1,1080.0,R-8,13128.64,0.0,2755.34,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
1507 RUTLAND AVE,3000.0,2012,0.0,3000.0,1779.46,1478,004,8,0,1,927.5,R-8,,,,,
1509 RUTLAND AVE,10200.0,2012,0.0,10200.0,9943.67,1478,005,8,0,1,927.5,R-8,,,,,
1511 RUTLAND AVE,3000.0,2012,0.0,3000.0,2630.11,1478,006,8,0,1,927.5,R-8,,,,,
1521 RUTLAND AVE,10200.0,2012,0.0,10200.0,5397.68,1478,011,8,0,0,927.5,R-8,,,,,
1523 RUTLAND AVE,10200.0,2012,0.0,10200.0,14048.36,1478,012,8,0,1,945.0,R-8,,,,,
1645 RUXTON AVE,46000.0,2012,0.0,46000.0,1157.05,2320A,022,15,1,0,1502.5,R-6,12000.0,0.0,1157.05,,60.0
1719 RUXTON AVE,46000.0,2012,0.0,46000.0,1661.72,2305,010,15,0,1,1489.12,R-6,,,,,
1734 RUXTON AVE,30000.0,2012,0.0,30000.0,1518.78,2306,037,15,1,0,1229.06,R-7,3739.68,0.0,1518.78,,151.0
1736 RUXTON AVE,30000.0,2012,0.0,30000.0,1184.71,2306,038,15,0,0,1358.44,R-7,3859.94,0.0,1184.71,,151.0
1818 RUXTON AVE,30000.0,2012,0.0,30000.0,1451.8,2307,015,15,0,0,1229.06,R-7,6692.8,0.0,1451.8,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
2045 RUXTON AVE,3000.0,2012,0.0,3000.0,2277.26,3214,047,15,0,1,1520.0,R-7,,,,,
2046 RUXTON AVE,3000.0,2012,0.0,3000.0,3683.42,3214,073,15,0,0,1560.17,R-7,,,,,
5409 SAGRA ROAD,121900.0,2012,0.0,121900.0,1420.04,5266,083,27,1,0,3515.67,R-5,107233.74,11694.0,13114.04,"PLUTO 2013, LLC",154.0
5424 SAGRA ROAD,109700.0,2012,0.0,109700.0,1758.66,5266,114,27,1,0,3515.67,R-5,52673.3,1758.0,3516.66,,213.0
5502 SAGRA ROAD,110400.0,2012,0.0,110400.0,2960.58,5266,116,27,1,0,1990.0,R-5,67280.0,4624.0,7584.58,,60.0
5607 SAGRA ROAD,123300.0,2012,0.0,123300.0,4600.79,5261,028,27,0,0,3220.0,R-5,63220.78,2780.0,7380.79,,89.0
3200 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,2928.46,3301,220,27,0,1,2291.0,R-6,,,,,
3313 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,2316.42,3301,135H,27,0,0,1533.0,R-6,,,,,
3322 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,1064.07,3301,120H,27,0,0,1494.67,R-6,2035.0,0.0,1064.07,,235.0
3328 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,1929.17,3301,120E,27,0,1,1640.33,R-6,2099.0,0.0,1929.17,,182.0
3330 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,2822.14,3301,120D,27,1,0,1640.33,R-6,,,,,
3417 SAINT AMBROSE AVE,5000.0,2012,0.0,5000.0,15860.26,3301,127,27,0,1,1710.0,R-6,,,,,
3418 SAINT AMBROSE AVE,21000.0,2012,0.0,21000.0,1640.63,3301,111,27,0,0,1887.33,R-6,2003.0,0.0,1640.63,,235.0
3429 SAINT AMBROSE AVE,3000.0,2012,0.0,3000.0,10025.3,3301,121,27,0,1,1470.0,R-6,,,,,
0609 SAINT ANNS AVE,15000.0,2012,0.0,15000.0,489.59,4061,037,9,0,1,2125.0,R-8,,,,,
2677 SAINT BENEDICT ST,30000.0,2012,0.0,30000.0,2367.98,2136,047,20,0,1,856.62,R-8,3453.97,0.0,2367.98,,151.0
5201 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,368.49,4544D,001,27,0,0,1540.0,R-6,10000.0,0.0,368.49,,279.0
5202 SAINT CHARLES AVE,3000.0,2012,0.0,3000.0,4914.23,4543A,041,27,0,1,1330.0,R-6,,,,,
5207 SAINT CHARLES AVE,3000.0,2012,0.0,3000.0,1838.63,4544D,004,27,0,1,1540.0,R-6,,,,,
5213 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,6891.68,4544D,007,27,0,0,1540.0,R-6,10000.0,0.0,6891.68,,279.0
5221 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,2210.03,4544D,011,27,0,0,1540.0,R-6,10000.0,0.0,2210.03,,279.0
5224 SAINT CHARLES AVE,24000.0,2012,0.0,24000.0,6798.76,4543A,030,27,0,0,1520.0,R-6,,,,,
5225 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,2921.54,4544D,013,27,0,0,1540.0,R-6,10000.0,0.0,2921.54,,279.0
5229 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,1505.15,4544D,015,27,0,0,1540.0,R-6,10000.0,0.0,1505.15,,279.0
5248 SAINT CHARLES AVE,34000.0,2012,0.0,34000.0,4025.43,4543B,015,27,0,0,2880.0,R-5,12000.0,0.0,4025.43,,279.0
0611 SAINT DUNSTANS ROAD,88900.0,2012,0.0,88900.0,2859.62,5140C,010,27,0,0,9054.17,R-3,42709.05,1429.0,4288.62,,213.0
0620 SAINT DUNSTANS ROAD,236300.0,2012,0.0,236300.0,4391.18,5138,007J,27,1,0,8704.17,R-3,145346.0,10165.0,14556.18,,60.0
0909 SAINT DUNSTANS ROAD,125000.0,2012,0.0,125000.0,4703.73,5140F,057,27,0,0,2322.83,R-6,64211.8,2842.0,7545.73,,89.0
4402 SAINT GEORGES AVE,61000.0,2012,0.0,61000.0,1338.51,5200,063,27,1,0,3120.0,R-5,32238.92,1567.0,2905.51,,162.0
4409 SAINT GEORGES AVE,77900.0,2012,0.0,77900.0,748.29,5190,007,27,1,0,4900.0,R-5,35943.37,956.0,1704.29,,213.0
4413 SAINT GEORGES AVE,91800.0,2012,0.0,91800.0,3069.36,5190,009,27,1,0,4900.0,R-5,43245.0,1305.0,4374.36,,60.0
5101 SAINT GEORGES AVE,173400.0,2012,0.0,173400.0,2352.91,5178,016,27,1,0,9542.8,R-1,90426.76,4213.0,6565.91,RAI CUSTODIAN,200.0
5102 SAINT GEORGES AVE,123200.0,2012,0.0,123200.0,8339.65,5177,017A,27,1,0,7500.0,R-1,25741.4,0.0,8339.65,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
6519 SAINT HELENA AVE,56100.0,2012,0.0,56100.0,972.72,6994,044,26,0,0,2138.75,R-6,28519.5,1215.0,2187.72,,213.0
6545 SAINT HELENA AVE,54800.0,2012,0.0,54800.0,1034.09,6994,057,26,1,0,3770.0,R-6,27253.85,1066.0,2100.09,,213.0
6557 SAINT HELENA AVE,52700.0,2012,0.0,52700.0,1520.72,6994,063,26,1,0,2138.75,R-6,28923.89,1568.0,3088.72,,213.0
6573 SAINT HELENA AVE,49600.0,2012,0.0,49600.0,1259.36,6994,071,26,0,0,2138.75,R-6,26335.8,1299.0,2558.36,,213.0
3608 SAINT MARGARET ST,72300.0,2012,0.0,72300.0,2753.87,7245,040,25,1,0,1316.0,R-6,34774.0,1170.0,3923.87,,60.0
3724 SAINT MARGARET ST,70600.0,2012,0.0,70600.0,2773.79,7245,059,25,0,0,1316.0,R-6,31254.45,602.0,3375.79,,77.0
3728 SAINT MARGARET ST,66700.0,2012,0.0,66700.0,5443.66,7245,061,25,0,0,2444.0,R-6,8150.0,0.0,5443.66,,162.0
3741 SAINT MARGARET ST,52533.0,2012,0.0,52533.0,42273.17,7245A,032,25,0,1,1387.17,R-6,,,,,
3810 SAINT MARGARET ST,45600.0,2012,0.0,45600.0,1601.17,7245B,024,25,0,0,1441.33,R-6,20081.87,368.0,1969.17,,77.0
3811 SAINT MARGARET ST,71800.0,2012,0.0,71800.0,4357.31,7245C,006,25,1,0,1548.67,R-6,4850.0,0.0,4357.31,,162.0
0438 SAINT MARY ST,123417.0,2012,0.0,123417.0,1029.48,0500,036,11,0,0,852.5,R-9,85768.0,7280.0,8309.48,,60.0
0530 SAINT MARY ST,1000.0,2012,0.0,1000.0,490.76,0499,024,17,0,0,1056.58,R-9,,,,,
0554 SAINT MARY ST,126800.0,2012,0.0,126800.0,883.01,0499,036,17,0,0,1425.0,R-9,124065.13,14669.0,15552.01,"PLUTO 2013, LLC",154.0
0526-530 SAINT PAUL PL,350200.0,2012,0.0,350200.0,8362.95,0552,011,11,0,0,,B-4-1,182929.54,8569.0,16931.95,,162.0
0100 SAINT PAUL ST,900400.0,2012,0.0,900400.0,5826.44,0623,007,4,0,0,,B-4-2,445830.0,17134.0,22960.44,,60.0
0907 SAINT PAUL ST,277300.0,2012,0.0,277300.0,8455.95,0513,024,11,0,0,2480.0,O-R-3,163720.0,10560.0,19015.95,,71.0
